ProductK;ProductAlternateKey;ProductSubcategory_Key;WeightUnitMeasureCode;SizeUnitMeasureCode;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ReorderPoint;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;Class;Style;ModelName;LargePhoto;ProductName;Rating
391;FK-1639;10;;;65,81;True;Blue;500;375;148,22;;NA;;1;;88,93;L;;LL Fork;Binary Data;LL Fork;0
392;FK-5136;10;;;77,92;True;Blue;500;375;175,49;;NA;;1;;105,29;M;;ML Fork;Binary Data;ML Fork;0
393;FK-9939;10;;;101,89;True;Blue;500;375;229,49;;NA;;1;;137,69;H;;HL Fork;Binary Data;HL Fork;0
397;HB-M243;4;;;17,98;True;Blue;500;375;40,49;;NA;;1;M;24,29;L;;LL Mountain Handlebars;Binary Data;LL Mountain Handlebars;0
398;HB-M243;4;;;19,78;True;Blue;500;375;44,54;;NA;;1;M;26,72;L;;LL Mountain Handlebars;Binary Data;LL Mountain Handlebars;0
410;FW-M423;17;;;26,97;True;Black;500;375;60,75;;NA;;1;M;36,45;L;;LL Mountain Front Wheel;Binary Data;LL Mountain Front Wheel;0
411;FW-M762;17;;;92,81;True;Black;500;375;209,03;;NA;;1;M;125,42;M;;ML Mountain Front Wheel;Binary Data;ML Mountain Front Wheel;0
412;FW-M928;17;;;133,3;True;Black;500;375;300,22;;NA;;1;M;180,13;H;;HL Mountain Front Wheel;Binary Data;HL Mountain Front Wheel;0
416;FW-T905;17;;;96,8;True;Black;500;375;218,01;;NA;;1;T;130,81;;;Touring Front Wheel;Binary Data;Touring Front Wheel;0
419;RW-M423;17;;;38,96;True;Black;500;375;87,75;;NA;;1;M;52,65;L;;LL Mountain Rear Wheel;Binary Data;LL Mountain Rear Wheel;0
420;RW-M762;17;;;104,8;True;Black;500;375;236,03;;NA;;1;M;141,62;M;;ML Mountain Rear Wheel;Binary Data;ML Mountain Rear Wheel;0
421;RW-M928;17;;;145,28;True;Black;500;375;327,22;;NA;;1;M;196,33;H;;HL Mountain Rear Wheel;Binary Data;HL Mountain Rear Wheel;0
425;RW-T905;17;;;108,78;True;Black;500;375;245,01;;NA;;1;T;147,01;;;Touring Rear Wheel;Binary Data;Touring Rear Wheel;0
447;LO-C100;34;;;10,31;True;Blue;4;3;25;;NA;;0;S;15;;;Cable Lock;Binary Data;Cable Lock;0
448;PU-0452;36;;;8,25;True;Blue;4;3;19,99;;NA;;0;S;11,99;;;Minipump;Binary Data;Minipump;0
449;PU-M044;36;;;10,31;True;Blue;4;3;24,99;;NA;;0;M;14,99;;;Mountain Pump;Binary Data;Mountain Pump;0
450;LT-T990;33;;;5,77;True;Blue;4;3;13,99;;NA;;0;R;8,39;;;Taillight;Binary Data;Taillights - Battery-Powered;0
451;LT-H902;33;;;14,43;True;Blue;4;3;34,99;;NA;;0;R;20,99;;;Headlights - Dual-Beam;Binary Data;Headlights - Dual-Beam;0
452;LT-H903;33;;;18,56;True;Blue;4;3;44,99;;NA;;0;R;26,99;;;Headlights - Weatherproof;Binary Data;Headlights - Weatherproof;0
477;WB-H098;28;;;1,87;True;Blue;4;3;4,99;;NA;;0;S;2,99;;;Water Bottle;Binary Data;Water Bottle - 30 oz.;5
479;BC-R205;28;;;3,36;True;Blue;4;3;8,99;;NA;;0;R;5,39;;;Road Bottle Cage;Binary Data;Road Bottle Cage;4
480;PK-7098;37;;;0,86;True;Blue;4;3;2,29;;NA;;0;S;1,37;;;Patch kit;Binary Data;Patch Kit/8 Patches;5
515;SE-M236;15;;;12,04;True;Blue;500;375;27,12;;NA;;1;M;16,27;L;;LL Mountain Seat/Saddle 2;Binary Data;LL Mountain Seat/Saddle;0
530;TT-T092;37;;;1,87;True;Blue;500;375;4,99;;NA;;0;T;2,99;;;Touring Tire Tube;Binary Data;Touring Tire Tube;4
537;TI-M823;37;;;13,09;True;Blue;500;375;35;;NA;;0;M;21;H;;HL Mountain Tire;Binary Data;HL Mountain Tire;4
540;TI-R982;37;;;12,19;True;Blue;500;375;32,6;;NA;;0;R;19,56;H;;HL Road Tire;Binary Data;HL Road Tire;3
548;PD-T852;13;;;35,96;True;Silver/Black;500;375;80,99;;NA;;1;T;48,59;;;Touring Pedal;Binary Data;Touring Pedal;0
559;CH-0234;7;;;8,99;True;Silver;500;375;20,24;;NA;;1;;12,14;;;Chain;Binary Data;Chain;0
212;HL-U509-R;31;;;12,03;True;Red;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Red;5
213;HL-U509-R;31;;;13,88;True;Red;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Red;5
214;HL-U509-R;31;;;13,09;True;Red;4;3;34,99;;NA;;0;S;20,99;;;Sport-100;Binary Data;Sport-100 Helmet, Red;5
215;HL-U509;31;;;12,03;True;Black;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Black;5
216;HL-U509;31;;;13,88;True;Black;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Black;5
217;HL-U509;31;;;13,09;True;Black;4;3;34,99;;NA;;0;S;20,99;;;Sport-100;Binary Data;Sport-100 Helmet, Black;5
220;HL-U509-B;31;;;12,03;True;Blue;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Blue;5
221;HL-U509-B;31;;;13,88;True;Blue;4;3;33,64;;NA;;0;S;20,19;;;Sport-100;Binary Data;Sport-100 Helmet, Blue;5
222;HL-U509-B;31;;;13,09;True;Blue;4;3;34,99;;NA;;0;S;20,99;;;Sport-100;Binary Data;Sport-100 Helmet, Blue;5
394;HS-0296;11;;;15,18;True;Blue;500;375;34,2;;NA;;1;;20,52;L;;LL Headset;Binary Data;LL Headset;0
395;HS-2451;11;;;45,42;True;Blue;500;375;102,29;;NA;;1;;61,37;M;;ML Headset;Binary Data;ML Headset;0
396;HS-3479;11;;;55,38;True;Blue;500;375;124,73;;NA;;1;;74,84;H;;HL Headset;Binary Data;HL Headset;0
399;HB-M763;4;;;24,99;True;Blue;500;375;56,29;;NA;;1;M;33,77;M;;ML Mountain Handlebars;Binary Data;ML Mountain Handlebars;0
400;HB-M763;4;;;27,49;True;Blue;500;375;61,92;;NA;;1;M;37,15;M;;ML Mountain Handlebars;Binary Data;ML Mountain Handlebars;0
401;HB-M918;4;;;48,55;True;Blue;500;375;109,34;;NA;;1;M;65,6;H;;HL Mountain Handlebars;Binary Data;HL Mountain Handlebars;0
402;HB-M918;4;;;53,4;True;Blue;500;375;120,27;;NA;;1;M;72,16;H;;HL Mountain Handlebars;Binary Data;HL Mountain Handlebars;0
403;HB-R504;4;;;17,98;True;Blue;500;375;40,49;;NA;;1;R;24,29;L;;LL Road Handlebars;Binary Data;LL Road Handlebars;0
404;HB-R504;4;;;19,78;True;Blue;500;375;44,54;;NA;;1;R;26,72;L;;LL Road Handlebars;Binary Data;LL Road Handlebars;0
405;HB-R720;4;;;24,99;True;Blue;500;375;56,29;;NA;;1;R;33,77;M;;ML Road Handlebars;Binary Data;ML Road Handlebars;0
406;HB-R720;4;;;27,49;True;Blue;500;375;61,92;;NA;;1;R;37,15;M;;ML Road Handlebars;Binary Data;ML Road Handlebars;0
407;HB-R956;4;;;48,55;True;Blue;500;375;109,34;;NA;;1;R;65,6;H;;HL Road Handlebars;Binary Data;HL Road Handlebars;0
408;HB-R956;4;;;53,4;True;Blue;500;375;120,27;;NA;;1;R;72,16;H;;HL Road Handlebars;Binary Data;HL Road Handlebars;0
446;PA-T100;35;;;51,56;True;Grey;4;3;125;;NA;;0;T;75;;;Touring-Panniers;Binary Data;Touring-Panniers, Large;0
478;BC-M005;28;;;3,74;True;Blue;4;3;9,99;;NA;;0;M;5,99;;;Mountain Bottle Cage;Binary Data;Mountain Bottle Cage;5
483;RA-H123;26;;;44,88;True;Blue;4;3;120;;NA;;0;S;72;;;Hitch Rack - 4-Bike;Binary Data;Hitch Rack - 4-Bike;2
484;CL-9009;29;;;2,97;True;Blue;4;3;7,95;;NA;;0;S;4,77;;;Bike Wash;Binary Data;Bike Wash - Dissolver;3
485;FE-6654;30;;;8,22;True;Blue;4;3;21,98;;NA;;0;M;13,19;;;Fender Set - Mountain;Binary Data;Fender Set - Mountain;5
486;ST-1401;27;;;59,47;True;Blue;4;3;159;;NA;;0;M;95,4;;;All-Purpose Bike Stand;Binary Data;All-Purpose Bike Stand;1
516;SE-M798;15;;;17,38;True;Blue;500;375;39,14;;NA;;1;M;23,48;M;;ML Mountain Seat/Saddle 2;Binary Data;ML Mountain Seat/Saddle;0
517;SE-M940;15;;;23,37;True;Blue;500;375;52,64;;NA;;1;M;31,58;H;;HL Mountain Seat/Saddle 2;Binary Data;HL Mountain Seat/Saddle;0
518;SE-R581;15;;;12,04;True;Blue;500;375;27,12;;NA;;1;R;16,27;L;;LL Road Seat/Saddle 1;Binary Data;LL Road Seat/Saddle;0
519;SE-R908;15;;;17,38;True;Blue;500;375;39,14;;NA;;1;T;23,48;M;;ML Road Seat/Saddle 2;Binary Data;ML Road Seat/Saddle;0
520;SE-R995;15;;;23,37;True;Blue;500;375;52,64;;NA;;1;R;31,58;H;;HL Road Seat/Saddle 2;Binary Data;HL Road Seat/Saddle;0
521;SE-T312;15;;;12,04;True;Blue;500;375;27,12;;NA;;1;T;16,27;L;;LL Touring Seat/Saddle;Binary Data;LL Touring Seat/Saddle;0
522;SE-T762;15;;;17,38;True;Blue;500;375;39,14;;NA;;1;T;23,48;M;;ML Touring Seat/Saddle;Binary Data;ML Touring Seat/Saddle;0
523;SE-T924;15;;;23,37;True;Blue;500;375;52,64;;NA;;1;T;31,58;H;;HL Touring Seat/Saddle;Binary Data;HL Touring Seat/Saddle;0
528;TT-M928;37;;;1,87;True;Blue;500;375;4,99;;NA;;0;M;2,99;;;Mountain Tire Tube;Binary Data;Mountain Tire Tube;5
529;TT-R982;37;;;1,49;True;Blue;500;375;3,99;;NA;;0;R;2,39;;;Road Tire Tube;Binary Data;Road Tire Tube;5
535;TI-M267;37;;;9,35;True;Blue;500;375;24,99;;NA;;0;M;14,99;L;;LL Mountain Tire;Binary Data;LL Mountain Tire;3
536;TI-M602;37;;;11,22;True;Blue;500;375;29,99;;NA;;0;M;17,99;M;;ML Mountain Tire;Binary Data;ML Mountain Tire;4
538;TI-R092;37;;;8,04;True;Blue;500;375;21,49;;NA;;0;R;12,89;L;;LL Road Tire;Binary Data;LL Road Tire;4
539;TI-R628;37;;;9,35;True;Blue;500;375;24,99;;NA;;0;R;14,99;M;;ML Road Tire;Binary Data;ML Road Tire;3
